library,bg,run,ccs,ccs_file
pool1,Omicron_BA1,220524_A,demultiplex.bc1001_BAK8A_OA--bc1001_BAK8A_OA.hifi_reads.fastq.gz,/fh/fast/bloom_j/SR/ngs/pacbio/220524_Bloom/Allie_Pool1-Cell2/demultiplex.bc1001_BAK8A_OA--bc1001_BAK8A_OA.hifi_reads.fastq.gz
pool2,Omicron_BA1,220524_A,demultiplex.bc1021_BAK8B_OA--bc1021_BAK8B_OA.hifi_reads.fastq.gz,/fh/fast/bloom_j/SR/ngs/pacbio/220524_Bloom/Allie_Pool1-Cell2/demultiplex.bc1021_BAK8B_OA--bc1021_BAK8B_OA.hifi_reads.fastq.gz
