library,replicate,sample,sample_type,sort_bin,concentration,date,number_cells,R1
pool1,A,TiteSeq_01_bin1,TiteSeq,1,1,220325,1068797,/shared/ngs/illumina/tstarr/220415_VH00699_102_AAAYMVFM5/Unaligned/Project_tstarr/220325_s01-b1_S1_R1_001.fastq.gz
pool1,A,TiteSeq_01_bin2,TiteSeq,2,1,220325,1719961,/shared/ngs/illumina/tstarr/220415_VH00699_102_AAAYMVFM5/Unaligned/Project_tstarr/220325_s01-b2_S2_R1_001.fastq.gz
pool1,A,TiteSeq_01_bin3,TiteSeq,3,1,220325,2572303,/shared/ngs/illumina/tstarr/220415_VH00699_102_AAAYMVFM5/Unaligned/Project_tstarr/220325_s01-b3_S3_R1_001.fastq.gz
pool1,A,TiteSeq_01_bin4,TiteSeq,4,1,220325,7162967,/shared/ngs/illumina/tstarr/220415_VH00699_102_AAAYMVFM5/Unaligned/Project_tstarr/220325_s01-b4_S4_R1_001.fastq.gz
pool1,A,TiteSeq_02_bin1,TiteSeq,1,2,220325,423019,/shared/ngs/illumina/tstarr/220415_VH00699_102_AAAYMVFM5/Unaligned/Project_tstarr/220325_s02-b1_S5_R1_001.fastq.gz
pool1,A,TiteSeq_02_bin2,TiteSeq,2,2,220325,2967228,/shared/ngs/illumina/tstarr/220415_VH00699_102_AAAYMVFM5/Unaligned/Project_tstarr/220325_s02-b2_S6_R1_001.fastq.gz
pool1,A,TiteSeq_02_bin3,TiteSeq,3,2,220325,3774832,/shared/ngs/illumina/tstarr/220415_VH00699_102_AAAYMVFM5/Unaligned/Project_tstarr/220325_s02-b3_S7_R1_001.fastq.gz
pool1,A,TiteSeq_02_bin4,TiteSeq,4,2,220325,5556904,/shared/ngs/illumina/tstarr/220415_VH00699_102_AAAYMVFM5/Unaligned/Project_tstarr/220325_s02-b4_S8_R1_001.fastq.gz
pool1,A,TiteSeq_03_bin1,TiteSeq,1,3,220325,2678879,/shared/ngs/illumina/tstarr/220415_VH00699_102_AAAYMVFM5/Unaligned/Project_tstarr/220325_s03-b1_S9_R1_001.fastq.gz
pool1,A,TiteSeq_03_bin2,TiteSeq,2,3,220325,2721170,/shared/ngs/illumina/tstarr/220415_VH00699_102_AAAYMVFM5/Unaligned/Project_tstarr/220325_s03-b2_S10_R1_001.fastq.gz
